No.,EPC,Last Record Time
186,e2801170000002161d2db974,2022-02-15 22:50:56
187,e2801170000002161d2db994,2022-02-15 22:50:59
188,e2801170000002161d2db964,2022-02-15 22:51:02
189,e2801170000002161d2db984,2022-02-15 22:51:07
190,e2801170000002161d2df5c4,2022-02-15 22:51:09
191,e2801170000002161d2da04d,2022-02-15 22:51:11
192,e2801170000002161d2dc2ec,2022-02-15 22:51:13
193,e2801170000002161d2e3c3b,2022-02-15 22:51:15
194,e2801170000002161d2e084c,2022-02-15 22:51:22
195,e2801170000002161d2e083c,2022-02-15 22:51:24
196,e2801170000002161d2e082c,2022-02-15 22:51:27
197,e2801170000002161d2dd43c,2022-02-15 22:51:29
198,e2801170000002161d2dd4cb,2022-02-15 22:51:32
199,e2801170000002161d2d6a7e,2022-02-15 22:51:34
200,e2801170000002161d2e08eb,2022-02-15 22:51:36
201,e2801170000002161d2d73d5,2022-02-15 22:51:38
202,e2801170000002161d2d73c5,2022-02-15 22:51:40
203,e2801170000002161d2d8d24,2022-02-15 22:51:42
204,e2801170000002161d2d8dc4,2022-02-15 22:51:54
205,e2801170000002161d2d8d44,2022-02-15 22:52:01
206,e2801170000002161d2d73f4,2022-02-15 22:52:05
207,e2801170000002161d2d8d14,2022-02-15 22:52:09
208,e2801170000002161d2d73e4,2022-02-15 22:52:14
209,e2801170000002161d2d8d04,2022-02-15 22:52:19
210,e2801170000002161d2d73e5,2022-02-15 22:52:22
211,e2801170000002161d2d6c9c,2022-02-15 22:52:26
212,e2801170000002161d2d6c8c,2022-02-15 22:52:28
213,e2801170000002161d2d6cbc,2022-02-15 22:52:31
214,e2801170000002161d2d6cdc,2022-02-15 22:52:36
215,e2801170000002161d2d6cfc,2022-02-15 22:52:38
216,e2801170000002161d2d6ccc,2022-02-15 22:52:40
217,e2801170000002161d2d6c1d,2022-02-15 22:52:42
218,e2801170000002161d2dc27d,2022-02-15 22:52:45
219,e2801170000002161d2dd44c,2022-02-15 22:52:47
220,e2801170000002161d2d6c3c,2022-02-15 22:52:49
221,e2801170000002161d2e2114,2022-02-15 22:52:52
222,e2801170000002161d2df5e4,2022-02-15 22:52:54
223,e2801170000002161d2e2104,2022-02-15 22:52:56
224,e2801170000002161d2df5b4,2022-02-15 22:53:02
225,e2801170000002161d2e2124,2022-02-15 22:53:05
226,e2801170000002161d2ddba4,2022-02-15 22:53:07
227,e2801170000002161d2df5f4,2022-02-15 22:53:09
228,e2801170000002161d2e2184,2022-02-15 22:53:12
229,e2801170000002161d2d7334,2022-02-15 22:53:15
230,e2801170000002161d2d7364,2022-02-15 22:53:17
231,e2801170000002161d2d8d64,2022-02-15 22:53:20
232,e2801170000002161d2d8d84,2022-02-15 22:53:23
233,e2801170000002161d2d8d34,2022-02-15 22:53:26
234,e2801170000002161d2d8d54,2022-02-15 22:53:38
235,e2801170000002161d2db914,2022-02-15 22:53:40
236,e2801170000002161d2d8de4,2022-02-15 22:53:42
237,e2801170000002161d2d8da4,2022-02-15 22:53:45
238,e2801170000002161d2d8dd4,2022-02-15 22:53:47
239,e2801170000002161d2d8db4,2022-02-15 22:53:51
240,e2801170000002161d2db904,2022-02-15 22:53:53
241,e2801170000002161d2ddbf4,2022-02-15 22:53:55
242,e2801170000002161d2df564,2022-02-15 22:53:58
243,e2801170000002161d2df574,2022-02-15 22:53:59
244,e2801170000002161d2d7384,2022-02-15 22:54:05
245,e2801170000002161d2d7374,2022-02-15 22:54:07
246,e2801170000002161d2d73c4,2022-02-15 22:54:10
247,e2801170000002161d2d7394,2022-02-15 22:54:14
248,e2801170000002161d2d73b4,2022-02-15 22:54:16
249,e2801170000002161d2d73d4,2022-02-15 22:54:19
250,e2801170000002161d2d73a4,2022-02-15 22:54:22
251,e2801170000002161d2d73b5,2022-02-15 22:54:24
252,e2801170000002161d2d73a5,2022-02-15 22:54:26
253,e2801170000002161d2d7385,2022-02-15 22:54:28
254,e2801170000002161d2d6afe,2022-02-15 22:54:33
255,e2801170000002161d2d7365,2022-02-15 22:54:35
256,e2801170000002161d2d7354,2022-02-15 22:54:37
257,e2801170000002161d2d7345,2022-02-15 22:54:39
258,e2801170000002161d2d7395,2022-02-15 22:54:41
259,e2801170000002161d2d7375,2022-02-15 22:54:43
260,e2801170000002161d2d7355,2022-02-15 22:54:45
261,e2801170000002161d2dc2fb,2022-02-15 22:54:47
262,e2801170000002161d2e082b,2022-02-15 22:54:50
263,e2801170000002161d2e084b,2022-02-15 22:54:52
264,e2801170000002161d2dd45c,2022-02-15 22:54:54
265,e2801170000002161d2e08db,2022-02-15 22:54:57
266,e2801170000002161d2dd4fb,2022-02-15 22:54:59
267,e2801170000002161d2e08fb,2022-02-15 22:55:01
268,e2801170000002161d2e08bb,2022-02-15 22:55:03
269,e2801170000002161d2e2a1b,2022-02-15 22:55:05
270,e2801170000002161d2e085b,2022-02-15 22:55:07
271,e2801170000002161d2d6c8d,2022-02-15 22:55:09
272,e2801170000002161d2dd48c,2022-02-15 22:55:11
273,e2801170000002161d2d6c9d,2022-02-15 22:55:13
274,e2801170000002161d2dc2fd,2022-02-15 22:55:16
275,e2801170000002161d2dc2ad,2022-02-15 22:55:18
276,e2801170000002161d2dc23d,2022-02-15 22:55:21
277,e2801170000002161d2da0ed,2022-02-15 22:55:23
278,e2801170000002161d2dd41d,2022-02-15 22:55:25
279,e2801170000002161d2dd40d,2022-02-15 22:55:27
280,e2801170000002161d2dd41b,2022-02-15 22:55:29
281,e2801170000002161d2e087b,2022-02-15 22:55:31
282,e2801170000002161d2e083b,2022-02-15 22:55:33
283,e2801170000002161d2e088b,2022-02-15 22:55:35
284,e2801170000002161d2e081b,2022-02-15 22:55:42
285,e2801170000002161d2e080b,2022-02-15 22:55:44
286,e2801170000002161d2dd47b,2022-02-15 22:55:46
287,e2801170000002161d2dd4bb,2022-02-15 22:55:49
288,e2801170000002161d2e086b,2022-02-15 22:55:51
289,e2801170000002161d2dd4db,2022-02-15 22:55:52
290,e2801170000002161d2e089b,2022-02-15 22:55:55
